Index,Rank 2014,Rank 2013,Name,Country,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations Per Faculty Score,Citations Per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,Overall
40,  140  ,    162  ,SUNGKYUNKWAN UNIVERSITY,KR,62.9,174,95.6,50,87.2,95,34.1,391,18.4,401+,42.3,329,62.2
41,  141=,    145=,UNIVERSITY OF CAPE TOWN,ZA,70.5,142,64.4,201,34.4,401+,70.4,145,69.3,201,54.9,243,62
42,  144  ,    165  ,ZHEJIANG UNIVERSITY,CN,78.3,111,81.7,108,29.2,401+,69.1,153,33.3,358,19.2,401+,61.9
43,  147=,    174  ,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,CN,67.5,155,57.9,250,61.9,235,75.9,120,12.4,401+,2.4,401+,61.2
44,  151=,    167  ,UNIVERSITI MALAYA (UM),MY,64.4,168,64,205,93.1,67,11.1,401+,79.2,170,77,146,61
45,  155  ,    151=,UNIVERSITY OF BERGEN,NO,45.4,276,20.7,401+,81.4,128,95.1,56,74,188,19.3,401+,60.3
46,  159  ,    155  ,UNIVERSITY OF OTAGO,NZ,62.3,177,61,230,32.3,401+,68.6,158,100,17,72.1,169,59.9
47,  162=,    175=,NANJING UNIVERSITY,CN,77.3,116,67.7,172,35.7,401+,55.1,241,51,280,16,401+,59.3
48,  162=,    161  ,THE HONG KONG POLYTECHNIC UNIVERSITY,HK,62.8,175,69.7,158,39,401+,51,262,99.2,47,82.1,126,59.3
49,  167=,    166  ,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,CL,87.2,78,94,56,43,397,20,401+,18.8,401+,7.8,401+,58.3
50,  167=,    199=,NATIONAL TSING HUA UNIVERSITY,TW,66.8,158,54.1,274,33,401+,82,96,46.4,294,14.8,401+,58.3
